Lake,Sensor,Depth_m,Average_f,Average_c
ES,3,2m,74.1055129,23.39195161
ES,6,4m,72.86746181,22.70414545
ES,7,2m,74.50919593,23.61621996
ES,1,6.5m,51.54981151,10.86100639
ES,5,6m,55.07442212,12.8191234
ES,10,5m,49.15069196,9.528162202
ES,4,0.5m,74.98120833,23.87844907
ES,8,6m,46.23272768,7.907070933
ES,12,4m,52.89011756,11.60562087
ES,9,7m,45.33769643,7.409831349
ES,11,3m,73.33230903,22.9623939
McD,1,0.5m,75.83287252,24.35159584
McD,4,6m,55.38691171,12.99272873
McD,2,4.5m,68.99697421,20.55387456
McD,7,5m,63.07435863,17.26353257
McD,6,1m,75.7902247,24.32790261
McD,5,3m,74.35702183,23.53167879
SP,7,11m,41.43394147,5.241078593
SP,3,7m,45.15982192,7.31101218
SP,4,5m,52.62114335,11.45619075
SP,1,3m,74.26702431,23.48168017
SP,8,17m,40.65991716,4.81106509
SP,2,15m,40.83282292,4.907123843
