sample,date,time,pel_1_temp,pel_1_lux,McD_1_temp,McD_1_lux,McD_10_temp,McD_10_lux,McD_2_temp,McD_2_lux,McD_3_temp,McD_3_lux,McD_4_temp,McD_4_lux,McD_5_temp,McD_5_lux,McD_6_temp,McD_6_lux,McD_7_temp,McD_7_lux,McD_1_comp,McD_2_comp,McD_3_comp,McD_4_comp,McD_5_comp,McD_6_comp,McD_7_comp,McD_10_comp
1,5/24/2023,0:00,18.426,0,18.996,0,18.806,0,18.901,0,18.711,0,18.806,0,18.045,0,18.236,0,17.475,0,0.57,0.475,0.285,0.38,-0.381,-0.19,-0.951,0.38
2,5/24/2023,0:15,18.616,0,18.901,0,18.616,0,18.901,0,18.711,0,18.901,0,18.14,0,18.616,0,17.76,0,0.285,0.285,0.095,0.285,-0.476,0,-0.856,0
3,5/24/2023,0:30,18.521,0,18.901,0,18.521,0,18.901,0,18.806,0,18.806,0,18.426,0,18.806,0,17.855,0,0.38,0.38,0.285,0.285,-0.095,0.285,-0.666,0
4,5/24/2023,0:45,18.426,0,18.901,0,18.616,0,18.806,0,18.711,0,18.806,0,18.521,0,18.806,0,17.76,0,0.475,0.38,0.285,0.38,0.095,0.38,-0.666,0.19
5,5/24/2023,1:00,18.521,0,18.806,0,18.521,0,18.806,0,18.711,0,18.806,0,18.616,0,18.806,0,17.76,0,0.285,0.285,0.19,0.285,0.095,0.285,-0.761,0
6,5/24/2023,1:15,18.331,0,18.806,0,18.521,0,18.711,0,18.711,0,18.711,0,18.616,0,18.711,0,17.665,0,0.475,0.38,0.38,0.38,0.285,0.38,-0.666,0.19
7,5/24/2023,1:30,18.331,0,18.711,0,18.616,0,18.711,0,18.711,0,18.711,0,18.521,0,18.616,0,17.475,0,0.38,0.38,0.38,0.38,0.19,0.285,-0.856,0.285
8,5/24/2023,1:45,18.331,0,18.711,0,18.616,0,18.616,0,18.711,0,18.711,0,18.426,0,18.616,0,17.475,0,0.38,0.285,0.38,0.38,0.095,0.285,-0.856,0.285
9,5/24/2023,2:00,18.331,0,18.616,0,18.616,0,18.616,0,18.616,0,18.616,0,18.426,0,18.521,0,17.475,0,0.285,0.285,0.285,0.285,0.095,0.19,-0.856,0.285
10,5/24/2023,2:15,18.426,0,18.616,0,18.616,0,18.521,0,18.616,0,18.616,0,18.426,0,18.521,0,17.379,0,0.19,0.095,0.19,0.19,0,0.095,-1.047,0.19
11,5/24/2023,2:30,18.426,0,18.521,0,18.616,0,18.521,0,18.521,0,18.521,0,18.521,0,18.616,0,17.379,0,0.095,0.095,0.095,0.095,0.095,0.19,-1.047,0.19
12,5/24/2023,2:45,18.331,0,18.521,0,18.616,0,18.521,0,18.521,0,18.426,0,18.521,0,18.616,0,17.379,0,0.19,0.19,0.19,0.095,0.19,0.285,-0.952,0.285
13,5/24/2023,3:00,18.426,0,18.426,0,18.521,0,18.426,0,18.426,0,18.426,0,18.521,0,18.616,0,17.379,0,0,0,0,0,0.095,0.19,-1.047,0.095
14,5/24/2023,3:15,18.331,0,18.426,0,18.521,0,18.426,0,18.426,0,18.521,0,18.426,0,18.521,0,17.379,0,0.095,0.095,0.095,0.19,0.095,0.19,-0.952,0.19
15,5/24/2023,3:30,18.426,0,18.426,0,18.426,0,18.331,0,18.426,0,18.521,0,18.331,0,18.426,0,17.379,0,0,-0.095,0,0.095,-0.095,0,-1.047,0
16,5/24/2023,3:45,18.331,0,18.331,0,18.426,0,18.331,0,18.331,0,18.426,0,18.236,0,18.426,0,17.379,0,0,0,0,0.095,-0.095,0.095,-0.952,0.095
17,5/24/2023,4:00,18.045,0,18.331,0,18.426,0,18.331,0,18.331,0,18.331,0,18.236,0,18.331,0,17.379,0,0.286,0.286,0.286,0.286,0.191,0.286,-0.666,0.381
18,5/24/2023,4:15,18.14,0,18.236,0,18.331,0,18.236,0,18.14,0,18.331,0,18.236,0,18.426,0,17.57,0,0.096,0.096,0,0.191,0.096,0.286,-0.57,0.191
19,5/24/2023,4:30,18.14,0,18.14,0,18.331,0,18.14,0,18.14,0,18.331,0,18.236,0,18.331,0,17.475,0,0,0,0,0.191,0.096,0.191,-0.665,0.191
20,5/24/2023,4:45,18.045,0,18.14,0,18.331,0,18.14,0,18.14,0,18.331,0,18.236,0,18.331,0,17.475,0,0.095,0.095,0.095,0.286,0.191,0.286,-0.57,0.286
21,5/24/2023,5:00,17.95,0,18.14,0,18.331,0,18.14,0,18.045,0,18.236,0,18.045,0,18.14,0,17.379,0,0.19,0.19,0.095,0.286,0.095,0.19,-0.571,0.381
22,5/24/2023,5:15,17.76,0,18.14,0,18.331,0,18.14,10.8,18.045,0,18.236,0,17.95,0,18.14,0,17.379,0,0.38,0.38,0.285,0.476,0.19,0.38,-0.381,0.571
23,5/24/2023,5:30,17.76,0,18.14,21.5,18.236,32.3,18.14,43.1,18.045,21.5,18.045,10.8,18.045,32.3,18.236,43.1,17.284,21.5,0.38,0.38,0.285,0.285,0.285,0.476,-0.476,0.476
24,5/24/2023,5:45,17.665,0,18.14,64.6,18.236,96.9,18.14,107.6,17.95,53.8,18.14,43.1,18.14,86.1,18.236,118.4,17.094,53.8,0.475,0.475,0.285,0.475,0.475,0.571,-0.571,0.571
25,5/24/2023,6:00,17.76,0,18.14,118.4,18.14,150.7,18.045,172.2,17.95,96.9,18.14,75.3,18.14,139.9,18.236,183,17.284,75.3,0.38,0.285,0.19,0.38,0.38,0.476,-0.476,0.38
26,5/24/2023,6:15,18.045,75.3,18.045,635.1,18.14,775,18.045,893.4,17.95,484.4,18.045,409,18.045,688.9,18.14,914.9,17.189,430.6,0,0,-0.095,0,0,0.095,-0.856,0.095
27,5/24/2023,6:30,18.045,161.5,18.045,1205.6,18.045,1463.9,18.045,1636.1,17.95,936.5,17.95,775,18.045,1259.4,18.14,1636.1,17.189,775,0,0,-0.095,-0.095,0,0.095,-0.856,0
28,5/24/2023,6:45,18.045,204.5,17.95,1334.7,18.045,1722.2,17.95,1894.5,17.95,1011.8,17.95,904.2,18.045,1463.9,18.14,1980.6,17.189,990.3,-0.095,-0.095,-0.095,-0.095,0,0.095,-0.856,0
29,5/24/2023,7:00,18.045,344.4,17.95,2066.7,18.045,2497.2,17.95,2755.6,17.95,1636.1,17.76,1377.8,18.045,2325,18.14,2927.8,17.094,1356.3,-0.095,-0.095,-0.095,-0.285,0,0.095,-0.951,0
30,5/24/2023,7:15,18.045,387.5,17.95,2411.1,17.855,2755.6,17.95,3272.2,17.95,1980.6,17.76,1550,17.95,2497.2,18.045,3616.7,17.094,1722.2,-0.095,-0.095,-0.095,-0.285,-0.095,0,-0.951,-0.19
31,5/24/2023,7:30,18.045,398.3,17.855,2238.9,17.76,2411.1,17.855,2927.8,17.855,1808.3,17.76,1463.9,17.95,2497.2,18.045,3272.2,17.189,1463.9,-0.19,-0.19,-0.19,-0.285,-0.095,0,-0.856,-0.285
