sample,date,time,pel_1_temp,pel_1_lux,SP_2_temp,SP_2_lux,SP_3_temp,SP_3_lux,SP_4_temp,SP_4_lux,SP_5_temp,SP_5_lux,SP_6_temp,SP_6_lux,SP_7_temp,SP_7_lux,SP_8_temp,SP_8_lux,SP_D1_temp,SP_D1_lux
1,5/24/2023,0:00,16.523,0,16.808,0,16.332,0,16.237,0,16.523,0,16.808,0,17.094,0,17.284,0,,
2,5/24/2023,0:15,16.427,0,16.618,0,16.427,0,16.046,0,16.523,0,16.713,0,17.094,0,17.189,0,,
3,5/24/2023,0:30,16.332,0,16.523,0,16.427,0,15.76,0,16.523,0,16.618,0,17.094,0,17.094,0,,
4,5/24/2023,0:45,16.332,0,16.332,0,16.523,0,15.473,0,16.523,0,16.523,0,16.999,0,17.094,0,,
5,5/24/2023,1:00,16.237,0,16.237,0,16.427,0,14.996,0,16.523,0,16.427,0,16.903,0,16.999,0,,
6,5/24/2023,1:15,16.237,0,16.618,0,16.332,0,14.709,0,16.523,0,16.427,0,16.808,0,16.903,0,,
7,5/24/2023,1:30,16.237,0,16.618,0,15.855,0,14.517,0,16.427,0,16.427,0,16.808,0,16.903,0,,
8,5/24/2023,1:45,16.141,0,16.523,0,15.76,0,14.517,0,16.427,0,16.332,0,16.808,0,16.903,0,,
9,5/24/2023,2:00,16.237,0,16.713,0,16.332,0,14.613,0,16.332,0,16.332,0,16.808,0,16.903,0,,
10,5/24/2023,2:15,16.332,0,16.713,0,16.332,0,14.613,0,16.332,0,16.332,0,16.713,0,16.808,0,,
11,5/24/2023,2:30,16.237,0,16.618,0,16.427,0,14.709,0,16.332,0,16.237,0,16.618,0,16.713,0,,
12,5/24/2023,2:45,16.237,0,16.618,0,13.75,0,14.709,0,16.237,0,16.141,0,16.713,0,16.713,0,,
13,5/24/2023,3:00,16.141,0,16.618,0,16.141,0,14.517,0,16.237,0,16.237,0,16.618,0,16.808,0,,
14,5/24/2023,3:15,16.141,0,16.618,0,15.473,0,14.613,0,16.141,0,16.141,0,16.618,0,16.808,0,,
15,5/24/2023,3:30,16.046,0,16.618,0,15.664,0,14.613,0,16.141,0,16.141,0,16.713,0,16.808,0,,
16,5/24/2023,3:45,16.046,0,16.618,0,15.76,0,14.996,0,16.141,0,16.141,0,16.523,0,16.713,0,,
17,5/24/2023,4:00,16.046,0,16.523,0,15.76,0,14.996,0,16.046,0,16.046,0,16.427,0,16.713,0,,
18,5/24/2023,4:15,16.046,0,16.523,0,15.855,0,14.996,0,16.046,0,16.046,0,16.618,0,16.713,0,,
19,5/24/2023,4:30,16.046,0,16.523,0,15.664,0,14.996,0,15.951,0,15.951,0,16.618,0,16.618,0,,
20,5/24/2023,4:45,16.046,0,16.523,0,15.664,0,14.9,0,15.951,0,15.855,0,16.427,0,16.618,0,,
21,5/24/2023,5:00,16.046,0,16.523,0,15.569,0,15.091,0,15.951,0,15.855,0,16.332,0,16.523,0,,
22,5/24/2023,5:15,16.046,0,15.76,75.3,15.569,21.5,15.378,32.3,15.855,21.5,15.855,10.8,16.332,21.5,16.523,32.3,,
23,5/24/2023,5:30,16.046,75.3,16.046,301.4,15.664,96.9,15.378,107.6,15.855,86.1,15.855,64.6,16.332,129.2,16.427,150.7,,
24,5/24/2023,5:45,16.046,279.9,16.427,871.9,15.664,290.6,15.378,376.7,15.76,279.9,15.76,226,16.427,376.7,16.427,484.4,,
25,5/24/2023,6:00,16.141,312.2,16.332,1022.6,15.664,376.7,15.378,462.9,15.76,322.9,15.664,258.3,16.237,409,16.427,505.9,,
26,5/24/2023,6:15,16.141,452.1,16.237,1463.9,15.378,570.5,15.378,699.7,15.76,473.6,15.76,366,16.332,656.6,16.332,828.8,,
27,5/24/2023,6:30,16.141,1184,16.332,3272.2,15.282,1065.6,15.282,1194.8,15.664,1001,15.664,871.9,16.237,1550,16.332,1980.6,,
28,5/24/2023,6:45,16.141,1894.5,16.332,4822.3,15.282,1550,15.378,2238.9,15.76,1722.2,15.76,1377.8,16.237,2152.8,16.332,2669.5,,
29,5/24/2023,7:00,16.141,2583.4,16.427,6200,15.282,1894.5,15.378,2927.8,15.664,2583.4,15.76,2066.7,16.141,2755.6,16.332,3272.2,,
30,5/24/2023,7:15,16.141,3444.5,16.427,8611.2,15.378,2583.4,15.378,4305.6,15.664,3616.7,15.76,2669.5,16.141,3616.7,16.332,4822.3,,
31,5/24/2023,7:30,16.141,5511.1,16.523,11711.2,15.282,3100,15.473,5511.1,15.76,5511.1,15.951,4650,16.237,4822.3,16.427,9644.5,,
32,5/24/2023,7:45,16.141,5511.1,16.427,10677.8,14.325,3100,15.569,6200,15.76,6200,15.951,4477.8,16.237,4305.6,16.427,5338.9,,
33,5/24/2023,8:00,16.141,8266.7,16.427,13777.9,14.421,3961.1,15.569,7577.8,15.76,5511.1,16.046,6200,16.332,7233.4,16.427,7577.8,,
34,5/24/2023,8:15,16.237,10333.4,16.523,22044.6,14.517,4650,15.76,12400.1,15.76,8266.7,16.141,6200,16.427,7233.4,16.523,8611.2,,
35,5/24/2023,8:30,16.141,10333.4,16.713,22044.6,14.804,4477.8,15.855,12400.1,15.855,9644.5,16.237,6544.5,16.332,6200,16.523,9300.1,,
36,5/24/2023,8:45,16.237,9644.5,16.713,27555.7,15.091,5511.1,15.76,14466.8,15.855,10333.4,16.237,6544.5,16.427,8266.7,16.618,10333.4,,
37,5/24/2023,9:00,16.237,15844.5,16.903,31689.1,15.473,5338.9,16.046,18600.1,16.046,14466.8,16.427,8266.7,16.427,6544.5,16.523,9300.1,,
38,5/24/2023,9:15,16.237,14466.8,16.999,31689.1,15.569,6200,16.046,17222.3,16.046,12400.1,16.523,7577.8,16.427,7577.8,16.523,9644.5,,
39,5/24/2023,9:30,16.237,14466.8,16.999,49600.3,15.664,7577.8,16.046,17222.3,16.046,16533.4,16.427,8266.7,16.427,8611.2,16.523,11022.3,,
40,5/24/2023,9:45,16.237,8611.2,16.903,24800.2,15.664,7233.4,15.951,13089,16.046,8266.7,16.427,6200,16.523,8611.2,16.618,10677.8,,
41,5/24/2023,10:00,16.141,6544.5,16.808,21355.7,15.664,6544.5,15.76,10333.4,15.951,8611.2,16.332,5511.1,16.523,8266.7,16.618,10333.4,,
