date.time,temp.c,depth.m,lake,location,logger.id,date,hour,month,day,year,yday,id,lake_yr,helper
5/16/2019 12:00,8.879,1.5,MCD,pelagic,MCD3,2019-05-16,12,5,16,2019,136,MCD3_2019,MCD_2019,TRUE
5/17/2019 12:00,9.768,1.5,MCD,pelagic,MCD3,2019-05-17,12,5,17,2019,137,MCD3_2019,MCD_2019,TRUE
5/18/2019 12:00,9.176,1.5,MCD,pelagic,MCD3,2019-05-18,12,5,18,2019,138,MCD3_2019,MCD_2019,TRUE
5/19/2019 12:00,9.472,1.5,MCD,pelagic,MCD3,2019-05-19,12,5,19,2019,139,MCD3_2019,MCD_2019,TRUE
5/20/2019 12:00,10.455,1.5,MCD,pelagic,MCD3,2019-05-20,12,5,20,2019,140,MCD3_2019,MCD_2019,TRUE
5/21/2019 12:00,10.651,1.5,MCD,pelagic,MCD3,2019-05-21,12,5,21,2019,141,MCD3_2019,MCD_2019,TRUE
5/22/2019 12:00,11.528,1.5,MCD,pelagic,MCD3,2019-05-22,12,5,22,2019,142,MCD3_2019,MCD_2019,TRUE
5/23/2019 12:00,12.304,1.5,MCD,pelagic,MCD3,2019-05-23,12,5,23,2019,143,MCD3_2019,MCD_2019,TRUE
5/24/2019 12:00,12.11,1.5,MCD,pelagic,MCD3,2019-05-24,12,5,24,2019,144,MCD3_2019,MCD_2019,TRUE
5/25/2019 12:00,12.98,1.5,MCD,pelagic,MCD3,2019-05-25,12,5,25,2019,145,MCD3_2019,MCD_2019,TRUE
5/26/2019 12:00,12.69,1.5,MCD,pelagic,MCD3,2019-05-26,12,5,26,2019,146,MCD3_2019,MCD_2019,TRUE
5/27/2019 12:00,12.594,1.5,MCD,pelagic,MCD3,2019-05-27,12,5,27,2019,147,MCD3_2019,MCD_2019,TRUE
5/28/2019 12:00,12.98,1.5,MCD,pelagic,MCD3,2019-05-28,12,5,28,2019,148,MCD3_2019,MCD_2019,TRUE
5/29/2019 12:00,12.787,1.5,MCD,pelagic,MCD3,2019-05-29,12,5,29,2019,149,MCD3_2019,MCD_2019,TRUE
5/30/2019 12:00,12.69,1.5,MCD,pelagic,MCD3,2019-05-30,12,5,30,2019,150,MCD3_2019,MCD_2019,TRUE
5/31/2019 12:00,12.883,1.5,MCD,pelagic,MCD3,2019-05-31,12,5,31,2019,151,MCD3_2019,MCD_2019,TRUE
6/1/2019 12:00,13.461,1.5,MCD,pelagic,MCD3,2019-06-01,12,6,1,2019,152,MCD3_2019,MCD_2019,TRUE
6/2/2019 12:00,13.269,1.5,MCD,pelagic,MCD3,2019-06-02,12,6,2,2019,153,MCD3_2019,MCD_2019,TRUE
6/3/2019 12:00,12.69,1.5,MCD,pelagic,MCD3,2019-06-03,12,6,3,2019,154,MCD3_2019,MCD_2019,TRUE
6/4/2019 12:00,13.269,1.5,MCD,pelagic,MCD3,2019-06-04,12,6,4,2019,155,MCD3_2019,MCD_2019,TRUE
6/5/2019 12:00,14.038,1.5,MCD,pelagic,MCD3,2019-06-05,12,6,5,2019,156,MCD3_2019,MCD_2019,TRUE
6/6/2019 12:00,13.365,1.5,MCD,pelagic,MCD3,2019-06-06,12,6,6,2019,157,MCD3_2019,MCD_2019,TRUE
6/7/2019 12:00,13.654,1.5,MCD,pelagic,MCD3,2019-06-07,12,6,7,2019,158,MCD3_2019,MCD_2019,TRUE
6/8/2019 12:00,13.461,1.5,MCD,pelagic,MCD3,2019-06-08,12,6,8,2019,159,MCD3_2019,MCD_2019,TRUE
6/9/2019 12:00,13.654,1.5,MCD,pelagic,MCD3,2019-06-09,12,6,9,2019,160,MCD3_2019,MCD_2019,TRUE
6/10/2019 12:00,13.75,1.5,MCD,pelagic,MCD3,2019-06-10,12,6,10,2019,161,MCD3_2019,MCD_2019,TRUE
6/11/2019 12:00,13.942,1.5,MCD,pelagic,MCD3,2019-06-11,12,6,11,2019,162,MCD3_2019,MCD_2019,TRUE
6/12/2019 12:00,14.23,1.5,MCD,pelagic,MCD3,2019-06-12,12,6,12,2019,163,MCD3_2019,MCD_2019,TRUE
6/13/2019 12:00,14.613,1.5,MCD,pelagic,MCD3,2019-06-13,12,6,13,2019,164,MCD3_2019,MCD_2019,TRUE
6/14/2019 12:00,14.709,1.5,MCD,pelagic,MCD3,2019-06-14,12,6,14,2019,165,MCD3_2019,MCD_2019,TRUE
6/15/2019 12:00,15.569,1.5,MCD,pelagic,MCD3,2019-06-15,12,6,15,2019,166,MCD3_2019,MCD_2019,TRUE
6/16/2019 12:00,14.709,1.5,MCD,pelagic,MCD3,2019-06-16,12,6,16,2019,167,MCD3_2019,MCD_2019,TRUE
6/17/2019 12:00,15.664,1.5,MCD,pelagic,MCD3,2019-06-17,12,6,17,2019,168,MCD3_2019,MCD_2019,TRUE
6/18/2019 12:00,14.804,1.5,MCD,pelagic,MCD3,2019-06-18,12,6,18,2019,169,MCD3_2019,MCD_2019,TRUE
6/19/2019 12:00,16.046,1.5,MCD,pelagic,MCD3,2019-06-19,12,6,19,2019,170,MCD3_2019,MCD_2019,TRUE
6/20/2019 12:00,16.237,1.5,MCD,pelagic,MCD3,2019-06-20,12,6,20,2019,171,MCD3_2019,MCD_2019,TRUE
6/21/2019 12:00,15.664,1.5,MCD,pelagic,MCD3,2019-06-21,12,6,21,2019,172,MCD3_2019,MCD_2019,TRUE
6/22/2019 12:00,16.141,1.5,MCD,pelagic,MCD3,2019-06-22,12,6,22,2019,173,MCD3_2019,MCD_2019,TRUE
6/23/2019 12:00,16.237,1.5,MCD,pelagic,MCD3,2019-06-23,12,6,23,2019,174,MCD3_2019,MCD_2019,TRUE
6/24/2019 12:00,16.713,1.5,MCD,pelagic,MCD3,2019-06-24,12,6,24,2019,175,MCD3_2019,MCD_2019,TRUE
6/25/2019 12:00,16.141,1.5,MCD,pelagic,MCD3,2019-06-25,12,6,25,2019,176,MCD3_2019,MCD_2019,TRUE
6/26/2019 12:00,16.808,1.5,MCD,pelagic,MCD3,2019-06-26,12,6,26,2019,177,MCD3_2019,MCD_2019,TRUE
6/27/2019 12:00,16.713,1.5,MCD,pelagic,MCD3,2019-06-27,12,6,27,2019,178,MCD3_2019,MCD_2019,TRUE
6/28/2019 12:00,17.57,1.5,MCD,pelagic,MCD3,2019-06-28,12,6,28,2019,179,MCD3_2019,MCD_2019,TRUE
