lake,date,hour,yday,month,day,year,littoral6,littoral8,pelagic_05,pelagic_1,comp,seq,pelagic_3.5
MCD,5/16/2019,0,136,5,16,2019,16.0935,10.063,15.664,10.259,5.8345,1,8.282
MCD,5/16/2019,1,136,5,16,2019,15.282,10.357,15.521,10.504,4.778,2,8.282
MCD,5/16/2019,2,136,5,16,2019,13.798,10.455,15.139,11.041,2.757,3,8.282
MCD,5/16/2019,3,136,5,16,2019,13.461,10.308,14.996,11.9645,1.4965,4,8.282
MCD,5/16/2019,4,136,5,16,2019,14.1335,10.357,14.9,10.846,3.2875,5,8.232
MCD,5/16/2019,5,136,5,16,2019,14.277,10.699,14.804,10.455,3.822,6,8.332
MCD,5/16/2019,6,136,5,16,2019,13.99,10.259,14.7565,10.6505,3.3395,7,8.282
MCD,5/16/2019,7,136,5,16,2019,13.606,10.063,14.804,12.686,0.92,8,8.382
MCD,5/16/2019,8,136,5,16,2019,14.517,10.259,14.9,12.642,1.875,9,8.182
MCD,5/16/2019,9,136,5,16,2019,14.661,10.651,15.0435,12.302,2.359,10,8.232
MCD,5/16/2019,10,136,5,16,2019,14.852,10.553,15.378,10.5525,4.2995,11,8.382
MCD,5/16/2019,11,136,5,16,2019,15.33,10.6015,15.6165,10.406,4.924,12,8.232
MCD,5/16/2019,12,136,5,16,2019,15.7595,10.553,16.1415,10.6995,5.06,13,8.282
MCD,5/16/2019,13,136,5,16,2019,16.1415,10.6995,16.3795,10.846,5.2955,14,8.282
MCD,5/16/2019,14,136,5,16,2019,16.57,11.285,16.999,10.5035,6.0665,15,8.232
MCD,5/16/2019,15,136,5,16,2019,16.808,11.285,17.189,10.846,5.962,16,8.232
MCD,5/16/2019,16,136,5,16,2019,16.9985,11.3335,16.7605,10.9435,6.055,17,8.481
MCD,5/16/2019,17,136,5,16,2019,17.0465,10.9435,16.6655,10.895,6.1515,18,8.68
MCD,5/16/2019,18,136,5,16,2019,16.9985,10.846,16.0935,11.1875,5.811,19,8.332
MCD,5/16/2019,19,136,5,16,2019,16.7605,10.846,15.9505,11.09,5.6705,20,8.3815
MCD,5/16/2019,20,136,5,16,2019,16.5705,10.6505,15.903,11.236,5.3345,21,8.282
MCD,5/16/2019,21,136,5,16,2019,16.332,10.651,15.951,12.303,4.029,22,8.232
MCD,5/16/2019,22,136,5,16,2019,16.189,10.651,15.76,11.4795,4.7095,23,8.282
MCD,5/16/2019,23,136,5,16,2019,16.0935,10.602,15.664,11.479,4.6145,24,8.382
MCD,5/17/2019,0,137,5,17,2019,15.903,10.455,15.569,11.0415,4.8615,25,8.4315
MCD,5/17/2019,1,137,5,17,2019,15.712,10.455,15.569,10.9925,4.7195,26,8.332
MCD,5/17/2019,2,137,5,17,2019,15.569,10.357,15.473,11.722,3.847,27,8.282
MCD,5/17/2019,3,137,5,17,2019,15.521,10.357,15.473,11.09,4.431,28,8.282
MCD,5/17/2019,4,137,5,17,2019,15.33,10.259,15.378,11.2365,4.0935,29,8.282
MCD,5/17/2019,5,137,5,17,2019,15.2345,10.357,15.33,11.1875,4.047,30,8.282
MCD,5/17/2019,6,137,5,17,2019,15.187,10.504,15.2345,11.431,3.756,31,8.382
MCD,5/17/2019,7,137,5,17,2019,15.4255,10.846,15.282,11.5765,3.849,32,8.382
