lake,date,hour,yday,month,day,year,littoral6,littoral8,pelagic,seq
MCD,5/16/2019,0,136,5,16,2019,16.0935,10.063,10.259,1
MCD,5/16/2019,1,136,5,16,2019,15.282,10.357,10.504,2
MCD,5/16/2019,2,136,5,16,2019,13.798,10.455,11.041,3
MCD,5/16/2019,3,136,5,16,2019,13.461,10.308,11.9645,4
MCD,5/16/2019,4,136,5,16,2019,14.1335,10.357,10.846,5
MCD,5/16/2019,5,136,5,16,2019,14.277,10.699,10.455,6
MCD,5/16/2019,6,136,5,16,2019,13.99,10.259,10.6505,7
MCD,5/16/2019,7,136,5,16,2019,13.606,10.063,12.686,8
MCD,5/16/2019,8,136,5,16,2019,14.517,10.259,12.642,9
MCD,5/16/2019,9,136,5,16,2019,14.661,10.651,12.302,10
MCD,5/16/2019,10,136,5,16,2019,14.852,10.553,10.5525,11
MCD,5/16/2019,11,136,5,16,2019,15.33,10.6015,10.406,12
MCD,5/16/2019,12,136,5,16,2019,15.7595,10.553,10.6995,13
MCD,5/16/2019,13,136,5,16,2019,16.1415,10.6995,10.846,14
MCD,5/16/2019,14,136,5,16,2019,16.57,11.285,10.5035,15
MCD,5/16/2019,15,136,5,16,2019,16.808,11.285,10.846,16
MCD,5/16/2019,16,136,5,16,2019,16.9985,11.3335,10.9435,17
MCD,5/16/2019,17,136,5,16,2019,17.0465,10.9435,10.895,18
MCD,5/16/2019,18,136,5,16,2019,16.9985,10.846,11.1875,19
MCD,5/16/2019,19,136,5,16,2019,16.7605,10.846,11.09,20
MCD,5/16/2019,20,136,5,16,2019,16.5705,10.6505,11.236,21
MCD,5/16/2019,21,136,5,16,2019,16.332,10.651,12.303,22
MCD,5/16/2019,22,136,5,16,2019,16.189,10.651,11.4795,23
MCD,5/16/2019,23,136,5,16,2019,16.0935,10.602,11.479,24
MCD,5/17/2019,0,137,5,17,2019,15.903,10.455,11.0415,25
MCD,5/17/2019,1,137,5,17,2019,15.712,10.455,10.9925,26
MCD,5/17/2019,2,137,5,17,2019,15.569,10.357,11.722,27
MCD,5/17/2019,3,137,5,17,2019,15.521,10.357,11.09,28
MCD,5/17/2019,4,137,5,17,2019,15.33,10.259,11.2365,29
MCD,5/17/2019,5,137,5,17,2019,15.2345,10.357,11.1875,30
MCD,5/17/2019,6,137,5,17,2019,15.187,10.504,11.431,31
MCD,5/17/2019,7,137,5,17,2019,15.4255,10.846,11.5765,32
MCD,5/17/2019,8,137,5,17,2019,15.521,10.9435,11.285,33
MCD,5/17/2019,9,137,5,17,2019,15.139,10.6995,11.09,34
MCD,5/17/2019,10,137,5,17,2019,15.2345,10.357,11.382,35
MCD,5/17/2019,11,137,5,17,2019,15.473,10.602,10.9925,36
MCD,5/17/2019,12,137,5,17,2019,15.8555,10.6505,11.139,37
MCD,5/17/2019,13,137,5,17,2019,15.9985,10.6995,12.303,38
MCD,5/17/2019,14,137,5,17,2019,16.4275,10.455,13.0765,39
MCD,5/17/2019,15,137,5,17,2019,16.8555,10.357,13.076,40
MCD,5/17/2019,16,137,5,17,2019,16.7605,10.6995,12.642,41
MCD,5/17/2019,17,137,5,17,2019,16.951,10.6995,12.158,42
MCD,5/17/2019,18,137,5,17,2019,17.1415,10.651,11.916,43
MCD,5/17/2019,19,137,5,17,2019,16.713,10.406,11.625,44
MCD,5/17/2019,20,137,5,17,2019,16.4275,10.406,12.0615,45
MCD,5/17/2019,21,137,5,17,2019,16.3795,10.357,11.285,46
MCD,5/17/2019,22,137,5,17,2019,16.3795,10.504,11.09,47
MCD,5/17/2019,23,137,5,17,2019,16.189,10.797,12.11,48
MCD,5/18/2019,0,138,5,18,2019,15.9985,10.455,12.352,49
MCD,5/18/2019,1,138,5,18,2019,16.046,10.455,12.207,50
MCD,5/18/2019,2,138,5,18,2019,15.855,10.455,12.1585,51
MCD,5/18/2019,3,138,5,18,2019,15.8075,10.357,12.207,52
MCD,5/18/2019,4,138,5,18,2019,15.6165,10.455,12.2555,53
MCD,5/18/2019,5,138,5,18,2019,15.4255,10.6505,11.8675,54
MCD,5/18/2019,6,138,5,18,2019,15.33,10.6505,11.819,55
MCD,5/18/2019,7,138,5,18,2019,15.2345,10.406,11.8675,56
MCD,5/18/2019,8,138,5,18,2019,15.139,10.455,12.449,57
MCD,5/18/2019,9,138,5,18,2019,15.139,11.236,12.1585,58
MCD,5/18/2019,10,138,5,18,2019,14.948,11.139,12.0125,59
MCD,5/18/2019,11,138,5,18,2019,14.852,11.382,11.7705,60
MCD,5/18/2019,12,138,5,18,2019,14.7565,10.797,11.916,61
MCD,5/18/2019,13,138,5,18,2019,14.469,10.357,11.479,62
MCD,5/18/2019,14,138,5,18,2019,14.517,10.504,10.846,63
MCD,5/18/2019,15,138,5,18,2019,14.421,10.895,10.9925,64
MCD,5/18/2019,16,138,5,18,2019,14.373,10.9435,11.819,65
MCD,5/18/2019,17,138,5,18,2019,14.325,11.09,11.819,66
MCD,5/18/2019,18,138,5,18,2019,14.2775,11.0415,11.916,67
MCD,5/18/2019,19,138,5,18,2019,14.182,10.944,11.431,68
MCD,5/18/2019,20,138,5,18,2019,14.086,11.041,11.819,69
MCD,5/18/2019,21,138,5,18,2019,13.942,10.797,12.013,70
MCD,5/18/2019,22,138,5,18,2019,13.798,10.9925,12.2555,71
MCD,5/18/2019,23,138,5,18,2019,13.654,10.9435,12.304,72
MCD,5/19/2019,0,139,5,19,2019,13.4615,10.895,11.819,73
MCD,5/19/2019,1,139,5,19,2019,13.365,11.236,12.3035,74
MCD,5/19/2019,2,139,5,19,2019,13.317,11.2365,13.1245,75
MCD,5/19/2019,3,139,5,19,2019,13.221,10.7485,12.061,76
MCD,5/19/2019,4,139,5,19,2019,13.1245,12.061,12.7385,77
MCD,5/19/2019,5,139,5,19,2019,13.028,12.0605,13.173,78
MCD,5/19/2019,6,139,5,19,2019,12.8835,12.4975,12.7865,79
MCD,5/19/2019,7,139,5,19,2019,12.642,11.5275,12.3515,80
